"";"Domain";"Phylum";"Class";"Order";"Family";"Genus";"Species";"AD_DNF";"AD_EFF";"AD_INF";"AD_NFC";"AH_DNF";"AH_EFF";"AH_INF";"AH_NFC";"BE_EFF";"BE_INF";"BE_NFC";"EM_DNF";"EM_EFF";"EM_INF";"EM_NFC";"FD_DNF";"FD_EFF";"FD_INF";"FD_NFC";"FR_DNF";"FR_EFF";"FR_INF";"FR_NFC";"MN_DNF";"MN_EFF";"MN_INF";"MN_NFC";"TE_DNF";"TE_EFF";"TE_INF";"TE_NFC";"TG_DNF";"TG_EFF";"TG_INF";"TG_NFC";"TU_DNF";"TU_EFF";"TU_INF";"TU_NFC";"WT_DNF";"WT_EFF";"WT_INF";"WT_NFC";"ZR_DNF";"ZR_EFF";"ZR_INF";"ZR_NFC"
"59";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"uncultured|euryarchaeote";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"60";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"uncultured|Methanomicrobiales|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"61";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"uncultured|Methanosaetaceae|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"62";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"uncultured|Methanosaeta|sp";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"63";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"uncultured|Methanosarcinales|archaeon";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"64";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"uncultured|Methanosarcina|sp";0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"65";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosaetaceae";"Methanosaeta";"unidentified|archaeon";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"66";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanococcoides";"uncultured|archaeon";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"67";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanohalophilus";"uncultured|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"68";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanolobus";"uncultured|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanomethylovorans";"bioreactor|metagenome";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"70";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanomethylovorans";"Methanomethylovorans|hollandica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanomethylovorans";"uncultured|archaeon";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
"72";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanomethylovorans";"uncultured|Methanomethylovorans|sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
"73";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanosarcina";"Methanosarcina|sp.|HC-2";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"74";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanosarcina";"Methanosarcina|vacuolata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanosarcinales";"Methanosarcinaceae";"Methanosarcina";"uncultured|archaeon";1;2;2;4;0;2;5;1;2;0;1;0;0;0;0;1;4;0;0;1;5;0;2;0;3;4;0;0;2;2;0;0;0;0;0;0;0;2;0;0;4;2;3;0;0;1;0
